x,y,w,h,x2,y2,area
913,270,302,38,1215,308,11476
927,342,292,32,1219,374,9344
520,365,239,38,759,403,9082
484,422,289,32,773,454,9248
926,430,118,22,1044,452,2596
933,472,186,30,1119,502,5580
242,476,107,23,349,499,2461
482,510,122,22,604,532,2684
242,512,114,29,356,541,3306
480,553,305,29,785,582,8845
926,558,170,23,1096,581,3910
482,595,150,29,632,624,4350
923,601,286,29,1209,630,8294
167,634,187,39,354,673,7293
925,644,238,29,1163,673,6902
482,681,164,23,646,704,3772
159,712,198,23,357,735,4554
480,724,305,29,785,753,8845
925,729,271,22,1196,751,5962
162,755,161,28,323,783,4508
482,766,150,29,632,795,4350
923,772,309,29,1232,801,8961
159,798,205,30,364,828,6150
920,815,194,29,1114,844,5626
482,852,167,22,649,874,3674
159,883,226,23,385,906,5198
480,895,305,29,785,924,8845
925,900,229,22,1154,922,5038
162,926,259,29,421,955,7511
482,935,306,31,788,966,9486
923,943,275,29,1198,972,7975
163,967,129,30,292,997,3870
925,986,162,22,1087,1008,3564
159,1054,222,23,381,1077,5106
159,1097,221,22,380,1119,4862
551,1104,407,39,958,1143,15873
159,1140,202,29,361,1169,5858
163,1180,129,30,292,1210,3870
552,1183,353,32,905,1215,11296
1078,1234,138,39,1216,1273,5382
550,1271,173,23,723,1294,3979
170,1292,268,38,438,1330,10184
1072,1310,153,23,1225,1333,3519
552,1314,239,29,791,1343,6931
161,1361,221,23,382,1384,5083
1071,1396,145,23,1216,1419,3335
551,1399,200,22,751,1421,4400
545,1442,376,29,921,1471,10904
161,1447,282,22,443,1469,6204
1071,1481,219,23,1290,1504,5037
162,1489,293,29,455,1518,8497
551,1528,208,22,759,1550,4576
550,1570,310,30,860,1600,9300
161,1575,350,23,511,1598,8050
159,1618,353,29,512,1647,10237
551,1656,257,23,808,1679,5911
161,1660,67,22,228,1682,1474
161,1746,262,23,423,1769,6026
163,1787,364,32,527,1819,11648
159,1867,91,30,250,1897,2730
